Country,Total cases,Total deaths,Total recovered,New cases,New deaths,Active cases,Critical cases,Total cases per 1M pop.,Gross Total cases,Gross Total deaths
USA,215300,5110,8878,297,8,201312,5005,650,215597,5118
Italy,110574,13155,16847,0,0,80572,4035,1829,110574,13155
Spain,104118,9387,22647,0,0,72084,5872,2227,104118,9387
China,81554,3312,76238,0,0,2004,466,57,81554,3312
Germany,77981,931,18700,0,0,58350,3408,931,77981,931
France,56989,4032,10935,0,0,42022,6017,873,56989,4032
Iran,47593,3036,15473,0,0,29084,3871,567,47593,3036
UK,29474,2352,135,0,0,26987,163,434,29474,2352
Switzerland,17768,488,2967,0,0,14313,348,2053,17768,488
Turkey,15679,277,333,0,0,15069,979,186,15679,277
Belgium,13964,828,2132,0,0,11004,1088,1205,13964,828
Netherlands,13614,1173,250,0,0,12191,1053,795,13614,1173
Austria,10711,146,1436,0,0,9129,215,1189,10711,146
S. Korea,9976,169,5828,89,4,3979,55,195,10065,173
Canada,9731,129,1736,0,15,7866,120,258,9731,144
Portugal,8251,187,43,0,0,8021,230,809,8251,187
Brazil,6931,244,127,51,2,6560,296,33,6982,246
Israel,6092,26,241,0,0,5825,95,704,6092,26
Australia,5106,23,345,58,0,4738,50,200,5164,23
Sweden,4947,239,103,0,0,4605,393,490,4947,239
Norway,4877,44,13,0,0,4820,105,900,4877,44
Czechia,3589,39,61,0,0,3489,70,335,3589,39
Ireland,3447,85,5,0,0,3357,103,698,3447,85
Denmark,3107,104,894,0,0,2109,145,536,3107,104
Chile,3031,16,234,0,0,2781,31,159,3031,16
Malaysia,2908,45,645,0,0,2218,102,90,2908,45
Russia,2777,24,190,0,0,2563,8,19,2777,24
Ecuador,2758,98,58,0,0,2602,100,156,2758,98
Poland,2554,43,56,0,0,2455,50,67,2554,43
Romania,2460,92,252,0,0,2116,57,128,2460,92
Japan,2384,57,472,0,0,1855,69,19,2384,57
Luxembourg,2319,29,80,0,0,2210,31,3705,2319,29
Philippines,2311,96,50,0,0,2165,1,21,2311,96
Pakistan,2238,31,94,120,4,2113,12,10,2358,35
India,2032,58,148,34,0,1826,0,1,2066,58
Thailand,1771,12,505,0,0,1254,23,25,1771,12
Saudi Arabia,1720,16,264,0,0,1440,31,49,1720,16
Indonesia,1677,157,103,0,0,1417,0,6,1677,157
Finland,1446,17,300,0,0,1129,62,261,1446,17
Greece,1415,51,52,0,0,1312,90,136,1415,51
South Africa,1380,5,50,0,0,1325,7,23,1380,5
Mexico,1378,37,35,163,8,1306,1,11,1541,45
Peru,1323,47,394,0,9,882,49,40,1323,56
Panama,1317,32,9,0,0,1276,50,305,1317,32
Dominican Republic,1284,57,9,0,0,1218,0,118,1284,57
Iceland,1220,2,236,0,0,982,12,3575,1220,2
Argentina,1133,33,248,0,1,852,0,25,1133,34
Colombia,1065,17,39,0,0,1009,47,21,1065,17
Serbia,1060,28,42,0,0,990,62,121,1060,28
Singapore,1000,4,245,0,1,751,24,171,1000,5
Croatia,963,6,73,0,0,884,34,235,963,6
Algeria,847,58,61,0,0,728,0,19,847,58
Slovenia,841,15,10,0,0,816,31,405,841,15
Qatar,835,2,71,0,0,762,37,290,835,2
UAE,814,8,61,0,0,745,2,82,814,8
New Zealand,797,1,92,89,0,704,2,165,886,1
Ukraine,794,20,13,0,0,761,0,18,794,20
Egypt,779,52,179,0,0,548,0,8,779,52
Estonia,779,5,33,0,0,741,15,587,779,5
Hong Kong,766,4,147,0,0,615,5,102,766,4
Iraq,728,52,182,0,0,494,0,18,728,52
Morocco,654,39,29,0,0,586,1,18,654,39
Lithuania,581,8,7,0,0,566,11,213,581,8
Armenia,571,4,31,0,0,536,30,193,571,4
Bahrain,569,4,337,0,0,228,3,334,569,4
Hungary,525,20,40,0,0,465,17,54,525,20
Lebanon,479,14,43,0,0,422,5,70,479,14
Bosnia and Herzegovina,459,13,19,0,0,427,1,140,459,13
Latvia,446,0,1,0,0,445,3,236,446,0
Moldova,423,5,23,0,0,395,44,105,423,5
Tunisia,423,12,5,0,0,406,10,36,423,12
Bulgaria,422,10,20,0,0,392,18,61,422,10
Kazakhstan,402,3,26,22,0,373,6,21,424,3
Slovakia,400,1,3,0,0,396,1,73,400,1
Andorra,390,14,10,0,0,366,12,5048,390,14
Costa Rica,375,2,4,0,0,369,9,74,375,2
Azerbaijan,359,5,26,0,0,328,7,35,359,5
North Macedonia,354,11,17,0,0,326,4,170,354,11
Uruguay,350,2,62,0,0,286,15,101,350,2
Taiwan,329,5,45,0,0,279,0,14,329,5
Cyprus,320,9,28,0,0,283,11,265,320,9
Kuwait,317,0,80,0,0,237,14,74,317,0
Burkina Faso,282,16,46,0,0,220,0,13,282,16
Réunion,281,0,40,0,0,241,3,314,281,0
Jordan,278,5,36,0,0,237,5,27,278,5
Albania,259,15,67,0,0,177,7,90,259,15
Afghanistan,237,4,5,0,0,228,0,6,237,4
San Marino,236,28,13,0,0,195,16,6955,236,28
Cameroon,233,6,10,0,0,217,0,9,233,6
Vietnam,222,0,63,4,0,159,3,2,226,0
Honduras,219,14,3,47,4,202,4,22,266,18
Cuba,212,6,12,0,0,194,3,19,212,6
Oman,210,1,34,0,0,175,3,41,210,1
Ghana,195,5,31,0,0,159,1,6,195,5
Senegal,190,1,45,0,0,144,0,11,190,1
Ivory Coast,190,1,9,0,0,180,0,7,190,1
Malta,188,0,2,0,0,186,2,426,188,0
Uzbekistan,181,2,12,0,0,167,8,5,181,2
Nigeria,174,2,9,0,0,163,0,1,174,2
Faeroe Islands,173,0,75,0,0,98,1,3541,173,0
Channel Islands,172,3,0,0,0,169,0,989,172,3
Belarus,163,2,53,0,0,108,2,17,163,2
Mauritius,161,6,0,0,0,155,1,127,161,6
Sri Lanka,146,3,21,0,0,122,5,7,146,3
Venezuela,144,3,43,0,0,98,6,5,144,3
United Arab Emirates,140,2,31,0,0,0,0,0,140,2
Martinique,135,3,27,0,0,105,16,360,135,3
Palestine,134,1,18,0,0,115,0,26,134,1
Brunei,131,1,52,0,0,78,3,299,131,1
Guadeloupe,125,6,24,0,0,95,14,312,125,6
Montenegro,123,2,0,0,0,121,4,196,123,2
Georgia,117,0,23,0,0,94,6,29,117,0
Kyrgyzstan,116,0,5,5,0,111,5,18,121,0
Bolivia,115,7,1,0,0,107,3,10,115,7
Cambodia,110,0,34,1,0,76,1,7,111,0
DRC,109,9,3,0,0,97,0,1,109,9
Mayotte,101,1,10,0,0,90,3,370,101,1
Trinidad and Tobago,90,5,1,0,0,84,0,64,90,5
Rwanda,82,0,0,0,0,82,0,6,82,0
Gibraltar,81,0,34,0,0,47,0,2404,81,0
Kenya,81,1,3,0,0,77,2,2,81,1
Paraguay,77,3,2,8,0,72,4,11,85,3
Niger,74,5,0,0,0,69,0,3,74,5
Liechtenstein,72,0,0,0,0,72,0,1888,72,0
Isle of Man,68,1,0,0,0,67,0,800,68,1
Madagascar,57,0,0,0,0,57,6,2,57,0
Monaco,55,1,2,0,0,52,2,1402,55,1
Aruba,55,0,1,0,0,54,0,515,55,0
Bangladesh,54,6,25,0,0,23,1,0,54,6
French Guiana,51,0,15,0,0,36,0,171,51,0
Guatemala,46,1,12,7,0,33,1,3,53,1
Barbados,45,0,0,0,0,45,0,157,45,0
Jamaica,44,3,2,0,0,39,0,15,44,3
Uganda,44,0,0,0,0,44,0,1,44,0
Macao,41,0,10,0,0,31,0,63,41,0
El Salvador,41,2,0,8,0,39,4,6,49,2
Puerto Rico,39,2,1,8,0,36,0,14,47,2
French Polynesia,37,0,0,0,0,37,1,132,37,0
Togo,36,2,10,0,0,24,0,4,36,2
Zambia,36,0,0,0,0,36,0,2,36,0
Djibouti,33,0,0,0,0,33,0,33,33,0
Bermuda,32,0,10,0,0,22,0,514,32,0
Guam,32,1,0,3,0,31,0,190,35,1
Mali,31,3,0,0,0,28,0,2,31,3
Guinea,30,0,0,0,0,30,0,2,30,0
Ethiopia,29,0,2,0,0,27,2,0,29,0
Saint Martin,22,1,2,0,0,19,0,569,22,1
Cayman Islands,22,1,0,0,0,21,0,335,22,1
Bahamas,21,1,1,0,0,19,0,53,21,1
Tanzania,20,1,1,0,0,18,0,0,20,1
Maldives,19,0,13,0,0,6,0,35,19,0
Guyana,19,4,0,0,1,15,0,24,19,5
Gabon,18,1,0,0,0,17,0,8,18,1
U.S. Virgin Islands,17,0,0,0,0,17,0,163,17,0
Haiti,16,0,1,0,0,15,0,1,16,0
New Caledonia,16,0,1,0,0,15,0,56,16,0
Myanmar,16,1,0,0,0,15,0,0,16,1
Equatorial Guinea,15,0,1,0,0,14,0,11,15,0
Eritrea,15,0,0,0,0,15,0,4,15,0
Mongolia,14,0,2,0,0,12,0,4,14,0
Namibia,14,0,2,0,0,12,0,6,14,0
Benin,13,0,1,0,0,12,0,1,13,0
Saint Lucia,13,0,1,0,0,12,0,71,13,0
Dominica,12,0,0,0,0,12,0,167,12,0
Curaçao,11,1,3,0,0,7,0,67,11,1
Greenland,10,0,2,0,0,8,0,176,10,0
Grenada,10,0,0,1,0,10,0,89,11,0
Laos,10,0,0,0,0,10,0,1,10,0
Suriname,10,0,0,0,0,10,0,17,10,0
Libya,10,0,0,0,0,10,0,1,10,0
Mozambique,10,0,0,0,0,10,0,0,10,0
Syria,10,2,0,0,0,8,0,1,10,2
Seychelles,10,0,0,0,0,10,0,102,10,0
Côte d'Ivoire,9,0,1,0,0,0,0,0,9,0
MS Zaandam,9,2,0,0,0,7,0,0,9,2
Guinea-Bissau,9,0,0,0,0,9,0,5,9,0
Eswatini,9,0,0,0,0,9,0,8,9,0
Angola,8,2,1,0,0,5,0,0,8,2
Zimbabwe,8,1,0,0,0,7,0,0,8,1
Saint Kitts and Nevis,8,0,0,0,0,8,0,150,8,0
Sudan,7,2,2,0,0,3,0,0,7,2
Antigua and Barbuda,7,0,0,0,0,7,0,71,7,0
Fiji,7,0,0,2,0,7,0,8,9,0
Chad,7,0,0,0,0,7,0,0,7,0
Mauritania,6,1,2,0,0,3,0,1,6,1
St. Barth,6,0,1,0,0,5,0,607,6,0
Vatican City,6,0,0,0,0,6,0,7491,6,0
Cabo Verde,6,1,0,0,0,5,0,11,6,1
Liberia,6,0,0,0,0,6,0,1,6,0
Turks and Caicos,6,0,0,0,0,6,0,155,6,0
Somalia,5,0,1,0,0,4,0,0,5,0
Bhutan,5,0,1,1,0,4,0,6,6,0
Nepal,5,0,1,0,0,4,0,0,5,0
Nicaragua,5,1,0,0,0,4,0,1,5,1
Montserrat,5,0,0,0,0,5,0,1002,5,0
Gambia,4,1,2,0,0,1,0,2,4,1
Botswana,4,1,0,0,0,3,0,2,4,1
Central African Republic,3,0,0,0,0,0,0,0,3,0
Belize,3,0,0,0,0,3,0,8,3,0
British Virgin Islands,3,0,0,0,0,3,0,99,3,0
CAR,3,0,0,0,0,3,0,1,3,0
St. Vincent Grenadines,2,0,1,0,0,1,0,18,2,0
Caribbean Netherlands,2,0,0,0,0,2,0,76,2,0
Anguilla,2,0,0,0,0,2,0,133,2,0
Burundi,2,0,0,0,0,2,0,0,2,0
Faroe Islands,2,0,0,0,0,0,0,0,2,0
Sierra Leone,2,0,0,0,0,2,0,0,2,0
Kosovo,2,0,0,0,0,0,0,0,2,0
Papua New Guinea,1,0,0,0,0,1,0,0,1,0
Saint Vincent and the Grenadines,1,0,0,0,0,0,0,0,1,0
Timor-Leste,1,0,0,0,0,1,0,1,1,0
Guernsey,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,0,0,0,0,0,0,0,0
